Rider_ID,Initial_Location,Dropoff_Location,status,systemjoin,pickup,dropoff
r187,"[2.212304053493719, 4.553602415519123]","[14.59092476168779, 0.5697540296964143]",Abandoned,6.3140285501997955,,
r188,"[0.054174785301275286, 13.631127759574515]","[9.664048953124688, 9.94504024427908]",Completed,6.3166519840799635,,
r189,"[6.329986700032013, 9.30976429563875]","[15.400383687867059, 6.333366552443449]",Abandoned,6.332573599017524,,
r190,"[15.204313569013618, 12.949546948256552]","[10.38951596296361, 12.40316689748196]",Completed,6.412081641127673,,
r191,"[5.570383158642982, 17.695715669979275]","[13.980835907406961, 16.474138246541482]",Abandoned,6.468043445461316,,
r192,"[0.55020928776772, 2.5918920211826513]","[18.88962813310403, 12.626113160029853]",Abandoned,6.583668792886916,,
r193,"[6.17053684392916, 10.068195801283311]","[17.693953715237715, 12.992449035875136]",Abandoned,6.624429328390576,,
r194,"[0.2483989672665743, 7.93196138576093]","[5.034162332147605, 17.4694121126833]",Abandoned,6.679948203656489,,
r195,"[11.875353246718536, 12.576454397980925]","[3.7747492130178584, 6.441882987759799]",Completed,6.681134527106058,,
r196,"[13.74496970135443, 7.6938626276735755]","[14.76244223390594, 6.145427213291925]",Completed,6.6827415764459115,,
r197,"[18.151313939497097, 2.2977743478751145]","[4.238502658059209, 2.4762080086270966]",Abandoned,6.7449261912417295,,
r198,"[2.601211934592216, 16.246471051637435]","[11.676414262197934, 1.4424817001016565]",Completed,6.8876767443434215,,
r199,"[12.363036437897385, 5.652277663706348]","[14.548009833473937, 12.858323911695688]",Completed,6.942181145386869,,
r200,"[13.206254480551816, 19.781139167410394]","[0.34679497836930695, 10.006222057702644]",Completed,6.992434766082013,,
r201,"[16.79801047805712, 8.92075179584587]","[4.7376067792114025, 4.870223131962364]",Completed,7.008479420107057,,
r202,"[17.23339524167827, 14.384899516840013]","[16.419351886207718, 13.907753051086116]",Completed,7.020759252827646,,
r203,"[9.73394302987032, 15.043251262426146]","[17.1262011356928, 5.655975786253871]",Completed,7.068282016720389,,
r204,"[16.035709799379788, 2.912953122418709]","[14.552811882446155, 10.308757769939787]",Completed,7.103046187426586,,
r205,"[0.9714263026904413, 0.3299644102901289]","[2.352688401524581, 0.523992363879564]",Abandoned,7.149620921739443,,
r206,"[3.4346674449367254, 5.106869389507523]","[3.4291215648284568, 4.273870407662574]",Completed,7.171920655678576,,
r207,"[16.96188581859666, 16.543050857568844]","[2.2322525738539767, 17.844907052835893]",Completed,7.1890345887698,,
r208,"[4.334562382587874, 13.412645906896906]","[11.70969831657085, 4.045025262327098]",Abandoned,7.194997300723563,,
r209,"[10.974687721822054, 11.772863647928691]","[3.0478682669262214, 16.928173039446136]",Completed,7.234953561412655,,
r210,"[2.285059480176812, 10.695334823565352]","[9.564580200206985, 2.104572888676157]",Completed,7.290015139769264,,
r211,"[13.578582238385355, 2.8608546150868164]","[2.2780423237643266, 2.1511107154386955]",Completed,7.3161730995085055,,
r212,"[17.19767443466751, 19.107597707327844]","[1.637143927105127, 8.477521639886865]",Abandoned,7.317279546350123,,
r213,"[0.15296380212862504, 12.134900449826826]","[17.768503933950583, 17.60648492263947]",Completed,7.407209547162971,,
r214,"[15.481543922777394, 12.69906165437197]","[10.029607129400262, 2.6013691702823682]",Completed,7.408952233555895,,
r215,"[19.315127065908538, 19.409332738285187]","[19.993186199755815, 2.725689838284129]",Completed,7.413056517005978,,
r216,"[17.921119774108323, 7.0709753645453866]","[18.261448279301874, 10.574582885900252]",Abandoned,7.417905642288583,,
r217,"[19.687853480683142, 10.111775367692879]","[14.702260509164633, 11.904971639217464]",Abandoned,7.426509294507516,,
r218,"[10.992536675149953, 1.550079716065711]","[7.3773524578578815, 9.54844787042033]",Completed,7.466008743650642,,
r219,"[16.844260181785966, 0.7104751027297662]","[12.361448492604865, 10.899676522241627]",Abandoned,7.47347626525312,,
